emp_no,first_name,last_name,gender,hire_date,birth_date
2038,Hurin,Thalion,M,2016-05-14,1983-07-21
2039,Huor,Breathren,M,2017-07-09,1982-08-10
2040,Aegnor,SonofFinrod,M,2018-09-22,1987-11-30
2041,Angrod,SonofFinrod,M,2019-11-15,1989-03-25
2042,Aredhel,ArFeiniel,F,2020-12-07,1984-02-05
2043,Earendil,Mariner,M,2021-03-20,1986-05-23
2044,Elwing,Star,F,2022-05-12,1977-10-03
2045,Denethor,StewardofGondor,M,2023-07-08,1985-09-14
2046,Ecthelion,WhiteFountain,M,2010-01-16,1987-12-08
2047,Galdor,Tree,M,2011-02-22,1975-11-01
2048,Eol,DarkElf,M,2012-04-04,1989-01-17
2049,Amdir,Lorien,M,2013-06-26,1986-03-02
2050,Amroth,Lothlorien,M,2014-09-29,1982-09-13
2051,Isildur,Numenor,M,2010-01-15,1982-07-05
2052,Anarion,Numenor,M,2011-02-18,1978-06-24
2053,Galdor,Tree,M,2012-03-23,1984-11-07
2054,Barahir,HouseofBeor,M,2013-04-27,1985-09-21
2055,Beor,Elder,M,2014-05-22,1981-08-31
2056,Brandir,Lame,M,2015-06-13,1980-05-18
2057,Dior,Thingol,M,2016-07-16,1977-03-29
2058,Draugluin,Werewolf,M,2017-08-19,1983-04-12
2059,Eldacar,Gondor,M,2018-09-22,1984-10-28
2060,Elendil,Tall,M,2019-10-27,1976-01-25
2061,Elros,Halfelven,M,2020-11-29,1987-08-02
2062,Finwe,Noldor,M,2021-12-20,1988-09-18
2063,Gil-galad,ElvenKing,M,2022-01-21,1981-04-07
2064,Halbarad,Dunedain,M,2023-02-25,1980-06-30
2065,Helm,Hammerhand,M,2010-03-20,1987-12-24
2066,Hurin,HouseofHador,M,2011-04-18,1979-11-10
2067,Idril,Celebrindal,F,2012-05-25,1983-05-13
2068,Ingwe,HighKing,M,2013-06-30,1988-02-02
2069,Lindir,Poet,M,2014-07-22,1978-01-12
2070,Mablung,Heavyhand,M,2015-08-19,1989-03-08
2071,Maglor,Kanafinwe,M,2016-09-11,1985-10-17
2072,Mahtan,Metallurgist,M,2017-10-05,1982-12-22
2073,Miriel,Serinde,F,2018-11-10,1977-09-14
2074,Nimloth,WhiteTree,F,2019-12-04,1987-11-29
2075,Oropher,WoodlandKing,M,2020-01-08,1980-04-15
2076,Orodreth,Wise,M,2021-02-09,1981-03-19
2077,Rian,WifeofHuor,F,2022-03-15,1984-05-27
2078,Thrain,Dwarf,M,2023-04-21,1986-06-23
2079,Thror,Dwarf,M,2010-05-20,1983-09-12
2080,Turgon,HighKing,M,2011-06-27,1981-08-04
2081,Tuor,LastHope,M,2012-07-29,1976-11-18
2082,Tyelko,Kanafinwe,M,2013-08-22,1989-01-25
2083,Ungoliant,Darkness,F,2014-09-17,1987-04-14
2084,Varda,Elentari,F,2015-10-20,1978-12-09
2085,Voronwe,Firdael,M,2016-11-18,1983-01-11
2086,Ancalagon,Black,M,2017-12-19,1985-07-20
2087,Bombadil,Tom,M,2018-01-16,1981-05-15
2088,Curunir,White,M,2019-02-19,1984-02-18
2089,Denethor,StewardofGondor,M,2020-03-29,1978-03-24
2090,Eldarion,Telcontar,M,2021-04-12,1982-08-26
2091,Eol,DarkElf,M,2022-05-10,1980-10-11
2092,Farmer,Maggot,M,2023-06-09,1986-02-08
2093,Fatty,Bolger,M,2010-07-16,1983-07-17
2094,Gildor,Inglorion,M,2011-08-15,1987-09-03
2095,Gorlim,Unhappy,M,2012-09-17,1979-05-23
2096,Hama,Doorwarden,M,2013-10-22,1984-11-08
2097,Hirgon,RedArrow,M,2014-11-21,1982-01-20
2098,Radagast,Brown,M,2015-12-21,1981-07-14
2099,Rosie,Cotton,F,2016-01-28,1986-04-29
