emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no
500054,1952-01-20,Olivia,Martinez,M,2012-09-13,d019
500055,1969-04-18,James,Smith,F,2004-01-09,d014
500056,1975-02-16,Noah,Garcia,M,1988-02-27,d014
500057,1986-03-07,Emma,Garcia,M,1986-02-27,d013
500058,1979-02-21,Olivia,Martinez,M,1999-12-20,d018
500059,1984-08-01,Alex,Williams,F,1991-03-08,d010
500060,1956-06-17,Olivia,Jones,M,1982-08-08,d018
500061,1977-11-29,Maria,Martinez,F,2022-04-21,d014
500062,1998-11-13,Maria,Garcia,F,2000-06-30,d015
500063,1971-04-05,Emma,Brown,M,2023-04-29,d016
500064,1960-07-08,Sophia,Johnson,M,1983-04-26,d017
500065,1972-02-09,Liam,Miller,F,2007-10-25,d017
500066,1978-07-27,Liam,Jones,F,1990-12-20,d010
500067,1985-08-26,Liam,Jones,F,2011-01-26,d017
500068,1959-07-20,Olivia,Williams,M,2018-01-20,d013
500069,1958-03-15,Liam,Johnson,M,2018-06-26,d013
500070,1979-04-15,Ava,Martinez,F,2005-08-17,d012
500071,1975-04-24,Emma,Brown,M,2019-12-11,d013
500072,1960-10-07,Ava,Rodriguez,F,2010-11-15,d017
500073,1975-06-14,Ava,Smith,F,1986-01-21,d019
500074,1963-04-21,Maria,Davis,M,2006-08-02,d017
500075,2000-03-20,James,Miller,F,2001-10-02,d014
500076,1986-01-18,Liam,Smith,F,1993-10-09,d013
500077,1972-10-02,Alex,Miller,F,1996-12-05,d013
500078,1981-10-23,John,Jones,F,1994-04-01,d013
500079,1953-05-04,Sophia,Martinez,F,1996-03-18,d014
500080,1968-09-12,Noah,Garcia,M,2015-02-12,d019
500081,1995-04-01,Sophia,Williams,M,1982-07-10,d013
500082,1970-04-07,Ava,Jones,F,2019-04-21,d010
500083,1980-04-01,Noah,Garcia,M,1980-10-02,d012
500084,1954-03-06,Noah,Miller,M,2018-04-19,d016
500085,1953-08-24,Ava,Smith,F,1989-03-08,d017
500086,1953-07-21,Noah,Smith,F,2021-04-27,d013
500087,1970-07-09,Liam,Brown,M,1999-10-03,d019
500088,1984-08-29,Ava,Miller,M,2009-09-30,d010
500089,1989-01-22,Liam,Johnson,M,2014-08-18,d014
500090,1951-08-29,Noah,Smith,F,1987-04-07,d018
500091,1985-05-01,Olivia,Rodriguez,F,2014-10-24,d013
500092,1995-04-24,Emma,Davis,F,2004-07-16,d018
500093,1950-07-02,James,Davis,F,2017-04-07,d010
500094,1988-12-17,Ava,Smith,F,1985-12-22,d018
500095,1956-06-09,Olivia,Smith,M,1984-05-15,d019
500096,1999-12-22,Olivia,Smith,F,2014-08-20,d017
500097,1982-01-05,John,Martinez,M,1996-10-26,d015
500098,1999-12-07,John,Rodriguez,M,2005-08-10,d010
500099,1972-08-15,Emma,Garcia,F,1997-02-28,d011
